Consultas	Clics	Impresiones	CTR	Posici�n
machu picchu	4669	490082	0.95%	5.17
boleto turistico cusco	4551	10857	41.92%	1.7
luces y sonido cusco 2018	2552	5237	48.73%	1.38
historia del inti raymi	2342	7643	30.64%	1.42
tours cusco	1449	10345	14.01%	1.96
emufec fiestas del cusco 2018	1448	2684	53.95%	1.34
machu picchu descripcion	1257	4590	27.39%	1.03
tour machu picchu	1076	7952	13.53%	5.53
descripcion de machu picchu	1000	2714	36.85%	1.01
cronograma de las fiestas del cusco 2018	940	1785	52.66%	1.01
clima de la selva peruana	932	4699	19.83%	1
cusco peru	905	97229	0.93%	7.07
inti raymi historia	821	2679	30.65%	1.41
tour cusco	784	5796	13.53%	2.09
fiestas del cusco 2018	729	1622	44.94%	1.34
clima de la selva	681	11591	5.88%	5.53
cusco altura	644	13811	4.66%	2.14
emufec cusco 2018	630	1641	38.39%	1.45
qenqo	627	7183	8.73%	1.76
inti raymi resumen	569	2972	19.15%	4.05
tambomachay	554	16986	3.26%	3.13
pisac	545	19370	2.81%	5.2
machu pichu	526	53186	0.99%	5.51
mal de altura	512	6745	7.59%	6.95
qorikancha	511	6834	7.48%	1.85
impuestos en el peru	507	1391	36.45%	1.02
sacsayhuaman	505	48270	1.05%	4.6
machu picchu informacion	504	10443	4.83%	4.36
noche cusqueña 2018	504	1231	40.94%	1.33
boleto turistico	486	1872	25.96%	2.46
city tour cusco	472	5151	9.16%	3.69
emufec	472	3943	11.97%	4.13
descripción de machu picchu	463	1463	31.65%	1.01
inti raymi resumen corto	454	851	53.35%	1.3
cronograma fiestas del cusco 2018	454	586	77.47%	1.01
fiestas del cusco	451	1852	24.35%	1.68
clima de peru	415	9852	4.21%	7.03
fiestas religiosas de la sierra del perú	402	2003	20.07%	1.12
noche de luces y sonido cusco 2018	388	900	43.11%	1.53
altura de cusco	384	8572	4.48%	2.12
moray	382	23184	1.65%	4.34
boleto turistico cusco 2018	376	1428	26.33%	2.83
virgen de la candelaria	371	13047	2.84%	6.03
clima de la sierra	369	8636	4.27%	4.53
lugares turisticos de cusco	356	9502	3.75%	5.07
tours en cusco	356	3113	11.44%	2.98
machupichu	355	40641	0.87%	5.2
moeda peruana	342	5624	6.08%	4.83
cronograma de fiestas del cusco 2018	341	430	79.30%	1.01
altura cusco	340	8968	3.79%	2.12
cusco tours	338	4444	7.61%	3.49
ollantaytambo	336	37997	0.88%	9.26
programa de festejos cusco 2018	335	421	79.57%	1
qoricancha	329	3536	9.30%	2.09
ticket turistico cusco	324	604	53.64%	1.16
machu picchu resumen	319	8735	3.65%	7.53
entrada a machu picchu	318	6121	5.20%	5.55
ministerio de cultura cusco	316	7645	4.13%	6.73
valle sagrado	315	11316	2.78%	5.52
programa fiestas del cusco 2018	315	413	76.27%	1
cusco	312	99060	0.31%	9.05
corpus christi cusco	309	2442	12.65%	2.54
valle sagrado de los incas	307	17410	1.76%	6.27
tour a machu picchu desde cusco	307	1225	25.06%	1.82
desfile civico cusco 2018	299	1475	20.27%	2.02
boleto turístico cusco	288	749	38.45%	1.67
cronograma de las fiestas del cusco junio 2018	288	474	60.76%	1.1
qenqo cusco	283	2568	11.02%	1.73
clima de la sierra peruana	282	4054	6.96%	4.06
cultura do peru	268	7822	3.43%	7.3
pisac cusco	262	4634	5.65%	4.11
clima de la costa	250	8312	3.01%	4.47
museos en cusco	250	1326	18.85%	1.18
clima do peru	248	3221	7.70%	3.94
impuestos peru	248	877	28.28%	1.01
tours a machu picchu	239	1971	12.13%	2.88
valle sur cusco	239	1471	16.25%	2.53
historia de la fiesta de san juan en la selva	238	1896	12.55%	3.91
sacsayhuaman entrada	225	999	22.52%	1.42
museo de sitio qoricancha	225	801	28.09%	1.34
impuestos en peru	225	653	34.46%	1.17
programacion fiestas del cusco 2018	224	284	78.87%	1.01
clima de la costa peruana	223	4116	5.42%	5.28
resumen del inti raymi	223	1850	12.05%	4.67
cusco boleto turistico	222	579	38.34%	1.98
emufec cronograma 2018	219	390	56.15%	1.63
los impuestos en el peru	218	636	34.28%	1.02
tour machu picchu desde cusco	211	938	22.49%	1.7
catedral de lima	208	15076	1.38%	5.28
lima peru	207	41238	0.50%	9.2
valle sur	207	1247	16.60%	2.33
programa de fiestas del cusco 2018	207	305	67.87%	1.09
moeda do peru	202	20690	0.98%	7.97
machu picchu turismo	202	1422	14.21%	1.95
cusco tourist ticket	202	1046	19.31%	2.38
que hacer en cusco	199	7856	2.53%	8.45
que hacer en machu picchu	199	937	21.24%	2.24
inti raymi	194	17875	1.09%	9.2
puka pukara	194	4067	4.77%	2.32
tour a machu picchu	193	2617	7.37%	3.69
museo de arte popular cusco	192	1252	15.34%	1.4
tour en cusco	191	1766	10.82%	2.92
cusco lugares turisticos	189	4803	3.94%	5.61
parque de las leyendas horario	186	4914	3.79%	6.05
donde comprar entradas a machu picchu	186	1351	13.77%	2.57
machupicchu	185	20555	0.90%	6.57
coricancha cusco	184	2914	6.31%	2.21
cuscoperu	183	494	37.04%	1.5
ciudadela de machu picchu	182	981	18.55%	1.01
fiesta de san juan	179	19863	0.90%	10.27
historia de inti raymi	179	535	33.46%	2.2
programa de festejos del cusco 2018	178	218	81.65%	1
btg cusco	174	473	36.79%	1.3
museo inka cusco	171	1632	10.48%	1.9
lineas de nazca resumen	170	1848	9.20%	4.47
qorikancha cusco	170	1471	11.56%	1.56
tours a cusco	168	1457	11.53%	1.72
festividades del cusco 2018	166	610	27.21%	1.79
guia turistica de cusco	165	431	38.28%	1.07
raqchi	160	3336	4.80%	4.68
mal de altura cusco	160	393	40.71%	1.75
pisac peru	158	4879	3.24%	6.54
tour cusco machu picchu	158	826	19.13%	2.84
cronograma de las fiestas del cusco	158	285	55.44%	1.15
lineas de nazca ubicacion	157	2279	6.89%	3.77
pilcopata	157	961	16.34%	1.52
fiestas de la sierra peruana	157	642	24.45%	1.21
cuscoperu.com	156	224	69.64%	1.08
huayna picchu	153	29985	0.51%	8.48
puca pucara	153	4596	3.33%	3.72
tour cuzco	153	1335	11.46%	1.96
señor de los milagros	149	19065	0.78%	8.82
machu picchu tours	149	6143	2.43%	33.26
luces y sonidos cusco 2018	149	335	44.48%	1.4
el clima de la selva	148	1991	7.43%	4.54
pukapukara	148	1610	9.19%	1.79
qoricancha cusco	148	1264	11.71%	1.71
entrada a sacsayhuaman	147	331	44.41%	1.14
tours machu picchu cusco	146	544	26.84%	2.26
cusco peru lugares turisticos	145	1720	8.43%	3.55
la fiesta de san juan	144	8037	1.79%	9.57
soroche	143	10865	1.32%	6.81
coricancha	142	15434	0.92%	5.76
tour a cusco	142	1252	11.34%	1.98
machu picchu tour	141	2478	5.69%	12.2
museo historico regional cusco	141	1055	13.36%	1.66
museo de arte contemporaneo cusco	141	927	15.21%	1.97
virgen de la candelaria resumen	140	508	27.56%	3.15
yawar fiesta	139	15984	0.87%	8.75
city tour	139	1114	12.48%	6.51
historia de la fiesta de san juan	138	1950	7.08%	7.11
aniversario de cusco 2018	136	298	45.64%	1.01
tours cuzco	135	887	15.22%	1.9
museo inka	134	2301	5.82%	2.52
museo de arte precolombino cusco	133	923	14.41%	1.84
el inti raymi resumen	132	711	18.57%	4.32
lugares turisticos en cusco	131	2102	6.23%	5.5
tour maras moray	131	688	19.04%	3.05
noche de luz y sonido cusco 2018	131	317	41.32%	1.68
entradas a machu picchu	130	4941	2.63%	6.85
tambomachay cusco	130	1304	9.97%	2.45
festividades de la sierra peruana	130	427	30.44%	1.14
boletos turisticos cusco	129	345	37.39%	1.4
tren a machu picchu	128	8601	1.49%	7.95
mal de altura peru	128	816	15.69%	3.89
cronograma de las fiestas del cusco 2018 emufec	127	307	41.37%	1.08
btc cusco	127	256	49.61%	1.18
