Consultas,Últimos 28 días Clics,28 días anteriores Clics,Últimos 28 días Impresiones,28 días anteriores Impresiones,Últimos 28 días CTR,28 días anteriores CTR,Últimos 28 días Posición,28 días anteriores Posición
boleto turistico cusco,1226.00,1814.00,3169.00,4162.00,38.69%,43.58%,1.95,1.48
machu picchu descripcion,590.00,288.00,2347.00,1140.00,25.14%,25.26%,1.03,1.04
descripcion de machu picchu,374.00,246.00,1088.00,651.00,34.38%,37.79%,1.01,1.02
clima de la selva peruana,281.00,295.00,1460.00,1599.00,19.25%,18.45%,1.00,1.00
cusco peru,266.00,332.00,30620.00,35750.00,0.87%,0.93%,6.37,7.31
tours cusco,259.00,540.00,2885.00,3659.00,8.98%,14.76%,2.90,1.85
clima de la selva,209.00,192.00,4645.00,3142.00,4.50%,6.11%,5.90,5.15
tour machu picchu,185.00,418.00,2198.00,2796.00,8.42%,14.95%,7.18,5.75
descripción de machu picchu,176.00,108.00,524.00,359.00,33.59%,30.08%,1.01,1.03
machu picchu,175.00,1463.00,70836.00,176940.00,0.25%,0.83%,8.87,4.02
qenqo,173.00,231.00,2086.00,2678.00,8.29%,8.63%,1.71,1.48
fiestas religiosas de la sierra del perú,173.00,134.00,860.00,676.00,20.12%,19.82%,1.12,1.13
impuestos en el peru,168.00,107.00,460.00,311.00,36.52%,34.41%,1.06,1.00
tour cusco,155.00,289.00,1619.00,1937.00,9.57%,14.92%,3.07,1.95
cusco altura,146.00,252.00,3730.00,5291.00,3.91%,4.76%,2.23,2.10
mal de altura,130.00,194.00,1091.00,2851.00,11.92%,6.80%,5.77,7.84
machu picchu informacion,107.00,155.00,3113.00,3230.00,3.44%,4.80%,4.04,4.77
qorikancha,104.00,159.00,2053.00,2308.00,5.07%,6.89%,1.80,1.60
boleto turistico,104.00,163.00,507.00,613.00,20.51%,26.59%,2.78,2.34
cusco tours,96.00,116.00,1374.00,1502.00,6.99%,7.72%,3.66,3.74
boleto turistico cusco 2018,91.00,148.00,409.00,516.00,22.25%,28.68%,3.26,2.62
tambomachay,89.00,186.00,5052.00,5658.00,1.76%,3.29%,3.07,2.21
altura cusco,87.00,127.00,2601.00,3470.00,3.34%,3.66%,2.23,2.05
altura de cusco,83.00,166.00,2476.00,3368.00,3.35%,4.93%,2.39,2.01
city tour cusco,83.00,176.00,1542.00,1818.00,5.38%,9.68%,3.63,4.01
sacsayhuaman,80.00,141.00,10058.00,17943.00,0.80%,0.79%,5.01,3.30
impuestos peru,79.00,57.00,257.00,229.00,30.74%,24.89%,1.04,1.00
inti raymi historia,78.00,105.00,342.00,316.00,22.81%,33.23%,1.08,1.14
pisac,76.00,180.00,5738.00,6782.00,1.32%,2.65%,6.53,5.24
ministerio de cultura cusco,75.00,142.00,2108.00,2931.00,3.56%,4.84%,6.67,6.62
machu picchu resumen,73.00,86.00,3191.00,2474.00,2.29%,3.48%,8.87,7.43
sacsayhuaman entrada,72.00,103.00,421.00,376.00,17.10%,27.39%,1.78,1.19
museo de sitio qoricancha,72.00,96.00,320.00,280.00,22.50%,34.29%,1.27,1.31
boleto turístico cusco,71.00,114.00,244.00,284.00,29.10%,40.14%,1.73,1.56
ticket turistico cusco,69.00,134.00,146.00,246.00,47.26%,54.47%,1.18,1.11
fiestas de la sierra peruana,68.00,48.00,287.00,185.00,23.69%,25.95%,1.28,1.16
los impuestos en el peru,68.00,49.00,210.00,136.00,32.38%,36.03%,1.06,1.00
qoricancha,67.00,99.00,1023.00,1150.00,6.55%,8.61%,2.28,1.85
virgen de la candelaria,65.00,110.00,3759.00,3758.00,1.73%,2.93%,6.71,5.85
cusco boleto turistico,65.00,78.00,172.00,224.00,37.79%,34.82%,1.90,2.00
tour machu picchu desde cusco,64.00,71.00,339.00,298.00,18.88%,23.83%,1.75,1.73
qorikancha cusco,63.00,56.00,555.00,453.00,11.35%,12.36%,1.47,1.39
museos en cusco,63.00,116.00,370.00,545.00,17.03%,21.28%,1.43,1.10
clima de la costa,62.00,89.00,2639.00,2681.00,2.35%,3.32%,4.91,4.34
qenqo cusco,62.00,89.00,633.00,908.00,9.79%,9.80%,1.44,1.37
impuestos en peru,62.00,62.00,208.00,165.00,29.81%,37.58%,1.21,1.17
moray,61.00,126.00,4919.00,9051.00,1.24%,1.39%,3.73,3.28
clima de la sierra,61.00,105.00,2671.00,2871.00,2.28%,3.66%,5.25,4.36
puka pukara,60.00,62.00,1249.00,1358.00,4.80%,4.57%,1.66,1.86
machu picchu turismo,60.00,66.00,413.00,466.00,14.53%,14.16%,1.69,2.09
ciudadela de machu picchu,60.00,59.00,328.00,322.00,18.29%,18.32%,1.01,1.00
cusco tourist ticket,59.00,59.00,330.00,324.00,17.88%,18.21%,2.43,2.31
clima de la costa peruana,54.00,68.00,1228.00,1201.00,4.40%,5.66%,5.82,5.47
texto descriptivo de machu picchu,53.00,33.00,170.00,132.00,31.18%,25.00%,1.11,1.21
tours en cusco,52.00,140.00,809.00,1096.00,6.43%,12.77%,4.33,3.08
el clima de la selva,52.00,43.00,795.00,565.00,6.54%,7.61%,4.82,4.22
cuscoperu.com,52.00,43.00,69.00,64.00,75.36%,67.19%,1.25,1.00
clima do peru,51.00,56.00,714.00,505.00,7.14%,11.09%,4.91,3.44
moeda do peru,48.00,28.00,5630.00,4825.00,0.85%,0.58%,9.09,8.74
museo de arte popular cusco,48.00,78.00,416.00,489.00,11.54%,15.95%,1.18,1.28
clima de la sierra peruana,46.00,90.00,1193.00,1179.00,3.86%,7.63%,4.85,3.89
templos de arequipa,46.00,0.00,159.00,0.00,28.93%,0.00%,1.28,0.00
tour a machu picchu desde cusco,45.00,109.00,211.00,436.00,21.33%,25.00%,2.52,1.90
que hacer en cusco,44.00,60.00,1883.00,2918.00,2.34%,2.06%,9.59,8.46
pisac cusco,44.00,101.00,1183.00,1856.00,3.72%,5.44%,5.45,3.83
valle sur,44.00,70.00,355.00,413.00,12.39%,16.95%,2.84,2.16
pilcopata,44.00,48.00,279.00,295.00,15.77%,16.27%,1.96,1.37
museo inka cusco,42.00,52.00,534.00,560.00,7.87%,9.29%,1.77,1.52
tour a cusco,42.00,39.00,331.00,384.00,12.69%,10.16%,1.88,1.96
btg cusco,42.00,65.00,140.00,182.00,30.00%,35.71%,1.48,1.16
lineas de nazca ubicacion,41.00,48.00,652.00,694.00,6.29%,6.92%,4.20,3.71
porque machu picchu fue declarado patrimonio de la humanidad,41.00,20.00,240.00,159.00,17.08%,12.58%,3.19,3.00
cusco,40.00,94.00,17661.00,32893.00,0.23%,0.29%,9.42,8.81
moeda peruana,39.00,30.00,1547.00,1671.00,2.52%,1.80%,6.02,5.97
museo historico regional cusco,39.00,55.00,346.00,430.00,11.27%,12.79%,1.81,1.17
tour cusco machu picchu,39.00,56.00,270.00,257.00,14.44%,21.79%,3.30,2.94
descripción de la plaza de armas,39.00,18.00,195.00,71.00,20.00%,25.35%,1.08,1.01
la selva presenta dos climas diferentes,39.00,36.00,167.00,157.00,23.35%,22.93%,1.35,1.29
valle sagrado de los incas,38.00,118.00,3399.00,6613.00,1.12%,1.78%,6.14,6.21
cultura do peru,38.00,57.00,1638.00,1141.00,2.32%,5.00%,8.87,7.36
corpus christi cusco,38.00,51.00,449.00,435.00,8.46%,11.72%,3.17,2.77
museo de arte contemporaneo cusco,38.00,62.00,287.00,357.00,13.24%,17.37%,2.02,1.89
fiestas religiosas de la sierra peruana,38.00,37.00,220.00,238.00,17.27%,15.55%,2.43,1.97
ciudad de machu picchu,37.00,42.00,523.00,609.00,7.07%,6.90%,1.34,1.23
pukapukara,37.00,49.00,458.00,556.00,8.08%,8.81%,1.66,1.54
museos cusco,37.00,45.00,164.00,174.00,22.56%,25.86%,1.45,1.12
festividades de la sierra peruana,37.00,47.00,148.00,144.00,25.00%,32.64%,1.38,1.02
ollantaytambo,36.00,85.00,4811.00,15145.00,0.75%,0.56%,10.64,9.70
valle sur cusco,36.00,90.00,419.00,588.00,8.59%,15.31%,3.78,2.42
sacsayhuaman ticket,36.00,35.00,230.00,167.00,15.65%,20.96%,3.19,3.01
pisac peru,35.00,44.00,1067.00,1441.00,3.28%,3.05%,6.23,6.14
boleto turistico del cusco,35.00,34.00,130.00,146.00,26.92%,23.29%,1.62,1.49
historia de moray,35.00,32.00,120.00,127.00,29.17%,25.20%,1.01,1.03
descripcion del parque de las leyendas,35.00,0.00,97.00,0.00,36.08%,0.00%,1.69,0.00
lineas de nazca resumen,34.00,46.00,666.00,509.00,5.11%,9.04%,5.35,4.33
tambomachay cusco,34.00,29.00,488.00,327.00,6.97%,8.87%,2.75,2.05
tour en cusco,34.00,76.00,478.00,568.00,7.11%,13.38%,4.66,2.65
museo de arte precolombino cusco,34.00,33.00,316.00,322.00,10.76%,10.25%,2.01,1.61
passeios no peru,34.00,37.00,146.00,161.00,23.29%,22.98%,1.99,2.11
que son los impuestos en el peru,34.00,16.00,96.00,47.00,35.42%,34.04%,1.09,1.00
festa de san juan,34.00,0.00,74.00,0.00,45.95%,0.00%,2.84,0.00
catedral de lima,33.00,47.00,4468.00,4340.00,0.74%,1.08%,5.04,4.52
cuscoperu,33.00,74.00,115.00,181.00,28.70%,40.88%,1.58,1.49
boleto turistico general cusco,33.00,26.00,80.00,63.00,41.25%,41.27%,1.74,1.29
valle sagrado,32.00,136.00,2905.00,4262.00,1.10%,3.19%,6.82,5.08
selva clima,32.00,29.00,839.00,383.00,3.81%,7.57%,9.23,7.87
