Consultas,"12/08/18-8/09/18, Clics","15/07/18-11/08/18, Clics","12/08/18-8/09/18, Impresiones","15/07/18-11/08/18, Impresiones","12/08/18-8/09/18, CTR","15/07/18-11/08/18, CTR","12/08/18-8/09/18, Posición","15/07/18-11/08/18, Posición"
boleto turistico cusco,1226,1814,3169,4162,"38,69 %","43,58 %","2,0","1,5"
machu picchu descripcion,590,288,2347,1140,"25,14 %","25,26 %","1,0","1,0"
descripcion de machu picchu,374,246,1088,651,"34,38 %","37,79 %","1,0","1,0"
clima de la selva peruana,281,295,1460,1599,"19,25 %","18,45 %","1,0","1,0"
cusco peru,266,332,30620,35750,"0,87 %","0,93 %","6,4","7,3"
tours cusco,259,540,2885,3659,"8,98 %","14,76 %","2,9","1,8"
clima de la selva,209,192,4645,3142,"4,5 %","6,11 %","5,9","5,1"
tour machu picchu,185,418,2198,2796,"8,42 %","14,95 %","7,2","5,7"
descripción de machu picchu,176,108,524,359,"33,59 %","30,08 %","1,0","1,0"
machu picchu,175,1463,70836,176940,"0,25 %","0,83 %","8,9","4,0"
qenqo,173,231,2086,2678,"8,29 %","8,63 %","1,7","1,5"
fiestas religiosas de la sierra del perú,173,134,860,676,"20,12 %","19,82 %","1,1","1,1"
impuestos en el peru,168,107,460,311,"36,52 %","34,41 %","1,1","1,0"
tour cusco,155,289,1619,1937,"9,57 %","14,92 %","3,1","2,0"
cusco altura,146,252,3730,5291,"3,91 %","4,76 %","2,2","2,1"
mal de altura,130,194,1091,2851,"11,92 %","6,8 %","5,8","7,8"
machu picchu informacion,107,155,3113,3230,"3,44 %","4,8 %","4,0","4,8"
boleto turistico,104,163,507,613,"20,51 %","26,59 %","2,8","2,3"
qorikancha,104,159,2053,2308,"5,07 %","6,89 %","1,8","1,6"
cusco tours,96,116,1374,1502,"6,99 %","7,72 %","3,7","3,7"
boleto turistico cusco 2018,91,148,409,516,"22,25 %","28,68 %","3,3","2,6"
tambomachay,89,186,5052,5658,"1,76 %","3,29 %","3,1","2,2"
altura cusco,87,127,2601,3470,"3,34 %","3,66 %","2,2","2,1"
city tour cusco,83,176,1542,1818,"5,38 %","9,68 %","3,6","4,0"
altura de cusco,83,166,2476,3368,"3,35 %","4,93 %","2,4","2,0"
sacsayhuaman,80,141,10058,17943,"0,8 %","0,79 %","5,0","3,3"
impuestos peru,79,57,257,229,"30,74 %","24,89 %","1,0","1,0"
inti raymi historia,78,105,342,316,"22,81 %","33,23 %","1,1","1,1"
pisac,76,180,5738,6782,"1,32 %","2,65 %","6,5","5,2"
ministerio de cultura cusco,75,142,2108,2931,"3,56 %","4,84 %","6,7","6,6"
machu picchu resumen,73,86,3191,2474,"2,29 %","3,48 %","8,9","7,4"
sacsayhuaman entrada,72,103,421,376,"17,1 %","27,39 %","1,8","1,2"
museo de sitio qoricancha,72,96,320,280,"22,5 %","34,29 %","1,3","1,3"
boleto turístico cusco,71,114,244,284,"29,1 %","40,14 %","1,7","1,6"
ticket turistico cusco,69,134,146,246,"47,26 %","54,47 %","1,2","1,1"
fiestas de la sierra peruana,68,48,287,185,"23,69 %","25,95 %","1,3","1,2"
los impuestos en el peru,68,49,210,136,"32,38 %","36,03 %","1,1","1,0"
qoricancha,67,99,1023,1150,"6,55 %","8,61 %","2,3","1,9"
cusco boleto turistico,65,78,172,224,"37,79 %","34,82 %","1,9","2,0"
virgen de la candelaria,65,110,3759,3758,"1,73 %","2,93 %","6,7","5,9"
tour machu picchu desde cusco,64,71,339,298,"18,88 %","23,83 %","1,8","1,7"
qorikancha cusco,63,56,555,453,"11,35 %","12,36 %","1,5","1,4"
museos en cusco,63,116,370,545,"17,03 %","21,28 %","1,4","1,1"
impuestos en peru,62,62,208,165,"29,81 %","37,58 %","1,2","1,2"
clima de la costa,62,89,2639,2681,"2,35 %","3,32 %","4,9","4,3"
qenqo cusco,62,89,633,908,"9,79 %","9,8 %","1,4","1,4"
clima de la sierra,61,105,2671,2871,"2,28 %","3,66 %","5,3","4,4"
moray,61,126,4919,9051,"1,24 %","1,39 %","3,7","3,3"
puka pukara,60,62,1249,1358,"4,8 %","4,57 %","1,7","1,9"
machu picchu turismo,60,66,413,466,"14,53 %","14,16 %","1,7","2,1"
ciudadela de machu picchu,60,59,328,322,"18,29 %","18,32 %","1,0","1,0"
cusco tourist ticket,59,59,330,324,"17,88 %","18,21 %","2,4","2,3"
clima de la costa peruana,54,68,1228,1201,"4,4 %","5,66 %","5,8","5,5"
texto descriptivo de machu picchu,53,33,170,132,"31,18 %",25 %,"1,1","1,2"
el clima de la selva,52,43,795,565,"6,54 %","7,61 %","4,8","4,2"
cuscoperu.com,52,43,69,64,"75,36 %","67,19 %","1,2","1,0"
tours en cusco,52,140,809,1096,"6,43 %","12,77 %","4,3","3,1"
clima do peru,51,56,714,505,"7,14 %","11,09 %","4,9","3,4"
museo de arte popular cusco,48,78,416,489,"11,54 %","15,95 %","1,2","1,3"
moeda do peru,48,28,5630,4825,"0,85 %","0,58 %","9,1","8,7"
clima de la sierra peruana,46,90,1193,1179,"3,86 %","7,63 %","4,8","3,9"
templos de arequipa,46,0,159,0,"28,93 %",0 %,"1,3","0,00"
tour a machu picchu desde cusco,45,109,211,436,"21,33 %",25 %,"2,5","1,9"
pisac cusco,44,101,1183,1856,"3,72 %","5,44 %","5,5","3,8"
pilcopata,44,48,279,295,"15,77 %","16,27 %","2,0","1,4"
valle sur,44,70,355,413,"12,39 %","16,95 %","2,8","2,2"
que hacer en cusco,44,60,1883,2918,"2,34 %","2,06 %","9,6","8,5"
museo inka cusco,42,52,534,560,"7,87 %","9,29 %","1,8","1,5"
btg cusco,42,65,140,182,30 %,"35,71 %","1,5","1,2"
tour a cusco,42,39,331,384,"12,69 %","10,16 %","1,9","2,0"
porque machu picchu fue declarado patrimonio de la humanidad,41,20,240,159,"17,08 %","12,58 %","3,2","3,0"
lineas de nazca ubicacion,41,48,652,694,"6,29 %","6,92 %","4,2","3,7"
cusco,40,94,17661,32893,"0,23 %","0,29 %","9,4","8,8"
