------------------------------------------------------------------------
Inbound Links for,www.cuscoperu.com
Scope,pld
Sorted by,source_page_authority
Filters:,external+not_deleted
Anchor text,all
Source PLD,all
------------------------------------------------------------------------

URL,Title,Anchor Text,Spam Score,PA,DA,Linking Domains to Page,Target URL,Link Type,Link State,Date First Seen,Date Last Seen,Date Lost,HTTP Status Code,Links to Page,Outbound Domains from Page,Outbound Links from Page
en.wikipedia.org/wiki/List_of_national_liquors,List of national liquors - Wikipedia,"""Machu Picchu and Cusco Tours | Peru Vacations | CuscoPeru.com: Pisco, Salud!""",--%,67,97,99,www.cuscoperu.com/articles/tag/pisco,nofollow,active,2018-03-17,2018-06-18,--,200,306,54,90
de.wikipedia.org/wiki/Cusco,Cusco – Wikipedia,Offizielle Website über Cusco,--%,64,94,359,www.cuscoperu.com/en/,nofollow,active,2018-03-16,2018-06-16,--,200,2864,98,110
news.bbc.co.uk/2/hi/americas/6292327.stm,BBC NEWS | Americas | Bridge stirs the waters in Machu Picchu,Cusco,1%,61,95,78,www.cuscoperu.com/,follow,active,2017-04-08,2018-06-14,2017-08-14,200,182,5,6
"en.wikipedia.org/wiki/St._Jerome_Cathedral,_Ica","St. Jerome Cathedral, Ica - Wikipedia","""La Catedral de Ica""",--%,58,97,7,www.cuscoperu.com/es/viajes/ica-nazca-paracas/templos-y-santuarios/la-catedral-de-ica,nofollow,active,2018-06-06,2018-06-06,--,200,10,11,25
news.bbc.co.uk/2/hi/americas/7439397.stm,BBC NEWS | Americas | Machu Picchu ruin 'found earlier',Cuzco,1%,58,95,98,www.cuscoperu.com/,follow,active,2017-04-11,2018-06-08,2017-08-10,200,171,4,7
en.wikipedia.org/wiki/Basilica_and_Convent_of_Santo_Domingo,Basilica and Convent of Santo Domingo - Wikipedia,"""Iglesia de Santo Domingo - Lima""",--%,57,97,4,www.cuscoperu.com/es/viajes/lima/templos-y-santuarios/santo-domingo,nofollow,active,2018-07-16,2018-07-16,--,200,86,13,29
zh.wikipedia.org/wiki/%E5%BA%AB%E6%96%AF%E7%A7%91,庫斯科 - 维基百科，自由的百科全书,Cucsoperu.com,--%,57,92,139,www.cuscoperu.com/,nofollow,active,2018-03-17,2018-06-16,--,200,331,103,128
www.theguardian.com/science/2014/apr/07/search-inca-lost-city-amazon-peru-paititi,Search for Inca 'lost city' in Amazon may endanger indigenous people | Science | The Guardian,Megantoni National Sanctuary,1%,57,94,31,www.cuscoperu.com/en/travel/cusco/natural-attractions/megantoni-national-sanctuary,follow,active,2018-02-26,2018-08-31,--,200,60,11,17
www.nytimes.com/2017/05/02/travel/cuzco-peru-budget-travel.html,Cuzco Is Breathtaking (in More Ways Than One) - The New York Times,Sacsayhuaman,1%,55,95,63,www.cuscoperu.com/en/travel/cusco/archaeological-centers/sacsayhuaman,follow,active,2017-09-03,2018-08-03,--,200,669,13,15
news.bbc.co.uk/2/hi/americas/7234224.stm,BBC NEWS | Americas | Draft law sparks protests in Peru,Cuzco,1%,55,95,10,www.cuscoperu.com/,follow,active,2016-08-01,2018-08-08,--,200,21,4,4
pt.wikipedia.org/wiki/Coricancha,"Coricancha – Wikipédia, a enciclopédia livre","«Qorikancha, o Templo do Sol»",--%,54,92,61,www.cuscoperu.com/pt/viagens/cusco/sitios-arqueologicos/qorikancha,nofollow,active,2018-03-17,2018-06-17,--,200,124,31,42
bit.ly/2jBUh68,,[no anchor text],--%,52,96,1,www.cuscoperu.com/es/viajes/cusco/centros-arqueologicos/qorikancha,follow,active,2018-01-05,2018-01-05,--,301,1,1,1
tr.wikipedia.org/wiki/Cusco,Cusco - Vikipedi,Tourist Information,--%,52,85,142,www.cuscoperu.com/,nofollow,active,2018-03-17,2018-06-18,--,200,279,101,119
pl.wikipedia.org/wiki/Sacsayhuam%C3%A1n,"Sacsayhuamán – Wikipedia, wolna encyklopedia",Sacsayhuaman,--%,52,91,45,www.cuscoperu.com/en/top-destinations/cusco/archaeological-centers/sacsayhuaman.html,nofollow,active,2018-03-19,2018-06-20,--,200,72,44,56
pl.wikipedia.org/wiki/Sacsayhuam%C3%A1n,"Sacsayhuamán – Wikipedia, wolna encyklopedia",sacsayhuaman,--%,52,91,45,www.cuscoperu.com/en/top-destinations/cusco/archaeological-centers/sacsayhuaman,nofollow,active,2018-03-19,2018-08-27,--,200,72,44,56
pt.wikipedia.org/wiki/Cahuachi,"Cahuachi – Wikipédia, a enciclopédia livre",Cahuachi,--%,52,92,16,www.cuscoperu.com/es/viajes/ica-nazca-paracas/centros-arqueologicos/cahuachi,nofollow,active,2018-03-14,2018-08-17,--,200,27,25,37
feeds.feedburner.com/Incatrailinfo?format=xml,IncaTrail.info,www.cuscoperu.com,1%,51,95,2,www.cuscoperu.com/en/festivities-events/november-december/santuranticuy-cusco,follow,active,2017-06-22,2018-01-09,--,200,8,16,71
elviajero.elpais.com/elviajero/2018/03/08/actualidad/1520505022_738310.html," 24 horas en El Valle Sagrado, de Cuzco a Machu Picchu | El Viajero | EL PAÍS",el,1%,50,92,11,www.cuscoperu.com/es/viajes/cusco/museos/museo-de-sitio-qorikancha,follow,active,2018-04-10,2018-07-22,--,200,53,115,185
ru.wikipedia.org/wiki/%D0%A2%D0%B0%D1%80%D0%B0%D1%83%D0%B0%D1%81%D0%B8,Тарауаси — Википедия,tarawasi travel,--%,50,92,9,www.cuscoperu.com/cusco/travel-peru/0254-tarawasi-travel-peru,nofollow,active,2017-08-03,2018-06-26,--,200,295,11,22
ru.wikipedia.org/wiki/%D0%A2%D0%B0%D1%80%D0%B0%D1%83%D0%B0%D1%81%D0%B8,Тарауаси — Википедия,Tarawasi Travel,--%,50,92,9,www.cuscoperu.com/cusco/travel-peru/0254-tarawasi-travel-peru.html,nofollow,active,2017-08-03,2018-06-17,--,200,295,11,22
news.bbc.co.uk/2/hi/7439397.stm,BBC NEWS | Americas | Machu Picchu ruin 'found earlier',Cuzco,1%,50,95,1,www.cuscoperu.com/,follow,active,2017-12-13,2018-06-18,--,200,2,4,7
www.forbes.com/sites/fathom/2014/10/18/take-to-the-andean-mountains-rio-sagrado/,Take To The Andean Mountains: Rio Sagrado,Parque Arqueologico Nacional,1%,48,94,1,www.cuscoperu.com/en/travel/sacred-valley-of-the-incas/archaeological-centers/ollantaytambo,nofollow,active,2018-08-16,2018-08-16,--,200,2,9,12
tr.wikipedia.org/wiki/Kutsal_Vadi,Kutsal Vadi - Vikipedi,the sacred valley,--%,48,85,37,www.cuscoperu.com/cusco/travel-peru/023-valley-travel-peru,nofollow,active,2018-03-16,2018-06-24,--,200,62,33,48
tr.wikipedia.org/wiki/Kutsal_Vadi,Kutsal Vadi - Vikipedi,The Sacred Valley,--%,48,85,37,www.cuscoperu.com/cusco/travel-peru/023-valley-travel-peru.html,nofollow,active,2018-03-16,2018-06-16,--,200,62,33,48
sr.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D1%81%D0%B8%D1%81%D0%BA%D0%BE_%D0%9F%D0%B8%D0%B7%D0%B0%D1%80%D0%BE,"Франсиско Пизаро — Википедија, слободна енциклопедија",Francisco Pizarro,--%,47,70,93,www.cuscoperu.com/index.php?option=com_content&view=article&id=689,nofollow,active,2018-03-16,2018-06-17,--,200,136,86,98
sr.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D1%81%D0%B8%D1%81%D0%BA%D0%BE_%D0%9F%D0%B8%D0%B7%D0%B0%D1%80%D0%BE,"Франсиско Пизаро — Википедија, слободна енциклопедија",Francisco Pizarro,--%,47,70,93,www.cuscoperu.com/cusco/cusco/05-pizarro-cusco-peru.php,nofollow,active,2018-03-16,2018-06-17,--,200,136,86,98
sr.wikipedia.org/wiki/%D0%9A%D1%83%D1%81%D0%BA%D0%BE,"Куско — Википедија, слободна енциклопедија",Туристичке информације,--%,47,70,106,www.cuscoperu.com/,nofollow,active,2018-03-15,2018-06-16,--,200,165,93,106
