Nro	URL	Title	Anchor Text	Spam Score	DA	Date First Seen	Date Crawled
1	www.wwwwwwwwwwwwww.net/index.php?page=447	The top million most visited websites, showing the ones you have visited, Jonas Lund, 2011	cuscoperu.com	100%	31	4/09/2018	4/09/2018
2	www.wwwwwwwwwwwwww.net/index.php?page=447	The top million most visited websites, showing the ones you have visited, Jonas Lund, 2011	cuscoperu.com	100%	31	4/09/2018	4/09/2018
3	peru.linkdr.hu/perui-terkepek-7307.html	Perui t?rk?pek - Peru.linkdr.hu	touristic maps	96%	39	11/06/2018	11/06/2018
4	peru.linkdr.hu/perui-terkepek-7307.html	Perui t?rk?pek - Peru.linkdr.hu	Touristic Maps	96%	39	11/06/2018	11/06/2018
5	peru.linkdr.hu/cuscoi-hotelek-7298.html	Cuscoi Hotelek - Peru.linkdr.hu	prisma hotel	96%	39	5/07/2017	14/06/2018
6	peru.linkdr.hu/cuscoi-hotelek-7298.html	Cuscoi Hotelek - Peru.linkdr.hu	Prisma Hotel	96%	39	19/04/2017	14/06/2018
7	peru.linkdr.hu/	Peru.linkdr.hu	touristic maps	96%	39	1/06/2017	17/06/2018
8	peru.linkdr.hu/	Peru.linkdr.hu	Prisma Hotel	96%	39	17/04/2017	17/06/2018
9	peru.linkdr.hu/	Peru.linkdr.hu	Cusco-Utaz?si inform?ci?	96%	39	17/04/2017	17/06/2018
10	peru.linkdr.hu/	Peru.linkdr.hu	Touristic Maps	96%	39	17/04/2017	17/06/2018
11	peru.linkdr.hu/peru---cusco-7294.html	Peru - Cusco - Peru.linkdr.hu	Cusco-Utaz?si inform?ci?	96%	39	15/06/2018	15/06/2018
12	www.4169.info/security/recreation_and_sports/travel/travel_guides/?p=4	4169.info - Free Link Directory - Recreation & Sports > Travel > Travel Guides 	Cusco travel | Peru travel information	93%	41	19/12/2017	7/07/2018
13	www.4169.info/security/recreation_and_sports/travel/travel_guides/?s=A	4169.info - Free Link Directory - Recreation & Sports > Travel > Travel Guides 	Cusco travel | Peru travel information	93%	41	19/12/2017	9/07/2018
14	4169.info/recreation_and_sports/travel/travel_guides/?s=A	4169.info - Free Link Directory - Recreation & Sports > Travel > Travel Guides 	Cusco travel | Peru travel information	93%	41	6/11/2017	20/07/2018
15	cusco.z00.nl/	Startpagina z00.nl | Links en Actuele informatie voor iedereen en iedere dag » z00.nl 	Cusco portal(*)	90%	20	24/06/2017	29/12/2017
16	www.phs2.net/layout-5/style-6/north-america/usa/cyber-world/oh158i.html		Save Ollanta	86%	28	24/05/2017	22/06/2018
17	www.phs2.net/layout-5/style-6/north-america/usa/cyber-world/oh158i.html		save ollanta	86%	28	6/06/2017	22/06/2018
18	www.wiki30.com/wa?s=Francisco_Pizarro	\r\n\t\r\n        Francisco Pizarro\r\n    \r\n	francisco pizarro	79%	27	29/09/2017	29/09/2017
19	www.wiki30.com/wa?s=Francisco_Pizarro	\r\n\t\r\n        Francisco Pizarro\r\n    \r\n	Francisco Pizarro	79%	27	29/09/2017	29/09/2017
20	wiki30.com/wa?s=Francisco_Pizarro	\r\n\t\r\n        Francisco Pizarro\r\n    \r\n	Francisco Pizarro	79%	27	9/02/2018	26/08/2018
21	wiki30.com/wa?s=Francisco_Pizarro	\r\n\t\r\n        Francisco Pizarro\r\n    \r\n	Francisco Pizarro	79%	27	9/02/2018	26/08/2018
22	aqz.eiftcom.press/files/images/chamber-breakfast-in-the-valley.html		Get free high quality HD wallpapers chamber breakfast in the valley	77%	32	17/12/2017	30/08/2018
23	www.bestwealthmanagement.com/recreation_and_sports/travel/	Best Wealth Management- Recreation & Sports > Travel	Cusco hotels	74%	39	7/09/2018	7/09/2018
24	bestwealthmanagement.com/recreation_and_sports/travel/	Best Wealth Management- Recreation & Sports > Travel	Cusco hotels	74%	39	26/08/2018	26/08/2018
25	bestwealthmanagement.com/recreation_and_sports/travel/?s=A	Best Wealth Management- Recreation & Sports > Travel	Cusco hotels	74%	39	2/09/2018	2/09/2018
26	theblisspages.com/travel/peru.php	bliss: travel - Peru	Cusco	73%	29	26/02/2018	31/08/2018
27	www.theblisspages.com/travel/peru.php	bliss: travel - Peru	Cusco	73%	29	25/12/2017	25/06/2018
28	www.giannirusso.info/machu-picchu-map.html		.	73%	22	20/05/2018	26/08/2018
29	www.abouelsid.org/machu-picchu-coffee-table-book.html	Machu Picchu Coffee Table Book | REAL PARADISE ON LIVE	[no anchor text]	71%	52	20/08/2018	20/08/2018
30	picphotos.net/tours/	Tours Pictures to pin on Pinterest	[no anchor text]	70%	51	12/03/2018	12/03/2018
31	picphotos.net/tours/	Tours Pictures to pin on Pinterest	[no anchor text]	70%	51	12/03/2018	12/03/2018
32	picphotos.net/3689-vista-panoramica-de-machu-picchu/	Pics Photos - 3689 Vista Panoramica De Machu Picchu	cusco con pernocte en machu picchu	70%	51	28/10/2017	28/10/2017
33	hja.earecom.press/files/images/chamber-breakfast.html	HD wallpapers chamber breakfast hja.earecom.press	Get free high quality HD wallpapers chamber breakfast	70%	37	25/11/2017	25/11/2017
34	wca.earecom.press/files/images/chamber-breakfast-in-the-valley.html	HD wallpapers chamber breakfast in the valley wca.earecom.press	Get free high quality HD wallpapers chamber breakfast in the valley	70%	37	15/11/2017	15/11/2017
